,ID,Room,LabName,keyword1,keyword2,keyword3,People,Bulding
4,5,A305,Shimizu Lab,Security,Network,IoT,5,A
7,8,A310,Matsuzaki Lab,Software,Programming Methodology,Parallel Distributed Processing,5,A
8,9,A359,Yokoyama Lab,OS,Cloud Computing ,Virtualization Technology,5,A
10,11,A361,Ugawa Lab,Software,Programming Language,Programming Language Processing,5,A
14,15,A355,Takada Lab,Software,Software Security,Specification Description,5,A
