,ID,Room,LabName,keyword1,keyword2,keyword3,People,Bulding
12,13,A360,Kurihara Lab,Image Processing,Perceptual Information Processing,Measurement System,5,A
14,15,A355,Takada Lab,Software,Software Security,Specification Description,5,A
16,17,A309,Yoshida Lab,Machine Learning,Neural Network,Fuzzy,0,A
